evidence_class,milestone,fold,arm_or_pair,metric,value,n,statistic_type,inferential_status,scope_note
e2_quality_confound_magnitude,E2,frozen-F1-bank,RND_vs_DET,SMD_q,-0.046168,1024+1024,descriptive_effect_size,not_claimed,"standardized mean difference of accepted-candidate quality q; |SMD|>=0.25 is the frozen E8 trigger, not a performance result"
e3_historical_descriptive_integrity,E3,historical,LLM,BA_sep_mean,0.790266,3,descriptive_mean_ddof1,not_claimed,re-summary of FROZEN historical Flow-1/Flow-2 BA_sep; discriminating controls C0/C1/C3 GPU-gated so delta_BA_excess is not computable; no invalidating finding
e3_historical_descriptive_integrity,E3,historical,DET,BA_sep_mean,0.851417,3,descriptive_mean_ddof1,not_claimed,re-summary of FROZEN historical Flow-1/Flow-2 BA_sep; discriminating controls C0/C1/C3 GPU-gated so delta_BA_excess is not computable; no invalidating finding
e3_historical_descriptive_integrity,E3,historical,RND,BA_sep_mean,0.784308,3,descriptive_mean_ddof1,not_claimed,re-summary of FROZEN historical Flow-1/Flow-2 BA_sep; discriminating controls C0/C1/C3 GPU-gated so delta_BA_excess is not computable; no invalidating finding
e4_historical_partial_ext_f1_threshold_transfer,E4,EXT-F1,LLM,T0_source_dev_video_ACER_mean,0.159389,5,descriptive_mean_ddof1,not_claimed,re-analysis of the FROZEN historical Flow-1 Track-G SiW-Mv2 evaluation; NOT a new EXT run; EXT-F1 only; EXT-F2/F3 GPU_REQUIRED
e4_historical_partial_ext_f1_threshold_transfer,E4,EXT-F1,LLM,T0_minus_oracle_video_ACER_gap_mean,0.004450,5,descriptive_mean_ddof1,not_claimed,T3-oracle is ORACLE_DIAGNOSTIC_ONLY / NOT_DEPLOYABLE / NOT_A_METHOD; no threshold-transfer anomaly detected
e4_historical_partial_ext_f1_threshold_transfer,E4,EXT-F1,DET,T0_source_dev_video_ACER_mean,0.174711,5,descriptive_mean_ddof1,not_claimed,re-analysis of the FROZEN historical Flow-1 Track-G SiW-Mv2 evaluation; NOT a new EXT run; EXT-F1 only; EXT-F2/F3 GPU_REQUIRED
e4_historical_partial_ext_f1_threshold_transfer,E4,EXT-F1,DET,T0_minus_oracle_video_ACER_gap_mean,0.006827,5,descriptive_mean_ddof1,not_claimed,T3-oracle is ORACLE_DIAGNOSTIC_ONLY / NOT_DEPLOYABLE / NOT_A_METHOD; no threshold-transfer anomaly detected
e4_historical_partial_ext_f1_threshold_transfer,E4,EXT-F1,RND,T0_source_dev_video_ACER_mean,0.190301,5,descriptive_mean_ddof1,not_claimed,re-analysis of the FROZEN historical Flow-1 Track-G SiW-Mv2 evaluation; NOT a new EXT run; EXT-F1 only; EXT-F2/F3 GPU_REQUIRED
e4_historical_partial_ext_f1_threshold_transfer,E4,EXT-F1,RND,T0_minus_oracle_video_ACER_gap_mean,0.013951,5,descriptive_mean_ddof1,not_claimed,T3-oracle is ORACLE_DIAGNOSTIC_ONLY / NOT_DEPLOYABLE / NOT_A_METHOD; no threshold-transfer anomaly detected
e5_partial_ext_f1_real_only_completed,E5,EXT-F1,REAL_ONLY,target_ACER_mean,0.199859,5,descriptive_mean_ddof1,not_claimed,"completed & scored; sample_sd(ddof1)=0.004639; frozen source-dev calibration, target_threshold_fitted=false; EXT-F1 only"
e5_partial_ext_f1_real_only_completed,E5,EXT-F1,REAL_ONLY,target_ROC_AUC_mean,0.885026,5,descriptive_mean_ddof1,not_claimed,REAL-ONLY (G-REALONLY) arm; no REAL-ONLY result exists for EXT-F2/EXT-F3
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,LLM,target_ACER_mean,0.348671,5,descriptive_mean,not_claimed,q-matched Track-G target evaluation; DESCRIPTIVE ONLY; inferential_status=NOT_CLAIMED; no significance & no LLM-superiority claim; margins ~0.002 ACER; EXT-F1 only
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,LLM,target_ROC_AUC_mean,0.707057,5,descriptive_mean,not_claimed,descriptive rank LLM(lowest ACER) < DET < RND; no comparable pre-q-match target baseline exists
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,DET,target_ACER_mean,0.350628,5,descriptive_mean,not_claimed,q-matched Track-G target evaluation; DESCRIPTIVE ONLY; inferential_status=NOT_CLAIMED; no significance & no LLM-superiority claim; margins ~0.002 ACER; EXT-F1 only
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,DET,target_ROC_AUC_mean,0.708596,5,descriptive_mean,not_claimed,descriptive rank LLM(lowest ACER) < DET < RND; no comparable pre-q-match target baseline exists
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,RND,target_ACER_mean,0.351553,5,descriptive_mean,not_claimed,q-matched Track-G target evaluation; DESCRIPTIVE ONLY; inferential_status=NOT_CLAIMED; no significance & no LLM-superiority claim; margins ~0.002 ACER; EXT-F1 only
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,RND,target_ROC_AUC_mean,0.705146,5,descriptive_mean,not_claimed,descriptive rank LLM(lowest ACER) < DET < RND; no comparable pre-q-match target baseline exists
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,DET_vs_LLM,mean_paired_ACER_delta,0.001957,5,descriptive_mean_paired_delta,not_claimed,"2/5 seeds positive; descriptive only, no inferential test computed"
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,RND_vs_DET,mean_paired_ACER_delta,0.000925,5,descriptive_mean_paired_delta,not_claimed,"3/5 seeds positive; descriptive only, no inferential test computed"
e8_qmatched_ext_f1_descriptive,E8,EXT-F1,RND_vs_LLM,mean_paired_ACER_delta,0.002882,5,descriptive_mean_paired_delta,not_claimed,"3/5 seeds positive; descriptive only, no inferential test computed"
e9_bank_selection_robustness_structural,E9,frozen-384-pool,LLM,jaccard_vs_reference_mean,0.625627,3,descriptive_mean,not_claimed,structural 256-of-384 selection stability within the frozen 384-candidate pool (64 masked); NOT detector-performance evidence; NOT independent LLM-generation replication
e9_bank_selection_robustness_structural,E9,frozen-384-pool,LLM,jaccard_vs_reference_min,0.605016,3,descriptive_min,not_claimed,9/9 realizations OK; bank size never lowered; llm_calls=0; no target access
e9_bank_selection_robustness_structural,E9,frozen-384-pool,DET,jaccard_vs_reference_mean,0.703191,3,descriptive_mean,not_claimed,structural 256-of-384 selection stability within the frozen 384-candidate pool (64 masked); NOT detector-performance evidence; NOT independent LLM-generation replication
e9_bank_selection_robustness_structural,E9,frozen-384-pool,DET,jaccard_vs_reference_min,0.684211,3,descriptive_min,not_claimed,9/9 realizations OK; bank size never lowered; llm_calls=0; no target access
e9_bank_selection_robustness_structural,E9,frozen-384-pool,RND,jaccard_vs_reference_mean,0.691683,3,descriptive_mean,not_claimed,structural 256-of-384 selection stability within the frozen 384-candidate pool (64 masked); NOT detector-performance evidence; NOT independent LLM-generation replication
e9_bank_selection_robustness_structural,E9,frozen-384-pool,RND,jaccard_vs_reference_min,0.678689,3,descriptive_min,not_claimed,9/9 realizations OK; bank size never lowered; llm_calls=0; no target access
e7_three_fold_unavailable,E7,EXT-F1,G-LLM,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F2,G-LLM,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F3,G-LLM,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F1,G-DET,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F2,G-DET,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F3,G-DET,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F1,G-RND,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F2,G-RND,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F3,G-RND,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F1,G-LLM-SHUFFLE-A,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F2,G-LLM-SHUFFLE-A,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
e7_three_fold_unavailable,E7,EXT-F3,G-LLM-SHUFFLE-A,target_ACER_mean,UNAVAILABLE_UPSTREAM_BLOCKED,0,none,not_applicable,E7 terminated SCIENTIFICALLY_BLOCKED_AFTER_RESERVE_CAP with 0/3 core matched synthetic banks; no detector trained; no target ACER scored; unavailable evidence is NOT negative evidence
